recipe_id,title,recipe_name,user_id,user_name,views,recommendations,scraps,cooking_method,situation,ingredients,category,description,ingredients_detail,servings,difficulty,cooking_time,registered_date,image_url,original_recipe_id,cooking_time_minutes,difficulty_level,popularity_score,category_encoded
0,맛있는 계란 요리 1,맛있는 계란 요리 1,user_33,요리사58,42053,3255,726,찌기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 1 레시피,계란 300g,2인분,고급,60분,2025-01-08,https://example.com/recipe_1000000.jpg,1000000,60,3,0.7613183741751475,4
1,맛있는 소고기 요리 2,맛있는 소고기 요리 2,user_53,요리사39,24187,889,915,볶기,간편식,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 2 레시피,소고기 300g,4인분,고급,30분,2025-11-03,https://example.com/recipe_1000001.jpg,1000001,30,3,0.4784754469528649,1
2,맛있는 계란 요리 3,맛있는 계란 요리 3,user_60,요리사16,24165,4773,707,볶기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 3 레시피,계란 300g,2인분,고급,20분,2025-02-23,https://example.com/recipe_1000002.jpg,1000002,20,3,0.6696537304857826,4
3,맛있는 계란 요리 4,맛있는 계란 요리 4,user_81,요리사9,19533,1790,353,굽기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 4 레시피,계란 300g,3인분,고급,30분,2025-02-12,https://example.com/recipe_1000003.jpg,1000003,30,3,0.37346710545849854,4
4,맛있는 소고기 요리 5,맛있는 소고기 요리 5,user_6,요리사43,6106,3242,230,찌기,손님접대,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 5 레시피,소고기 300g,4인분,초급,60분,2025-01-31,https://example.com/recipe_1000004.jpg,1000004,60,1,0.3016468135069828,2
5,맛있는 소고기 요리 6,맛있는 소고기 요리 6,user_45,요리사3,41100,1430,382,볶기,일상,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 6 레시피,소고기 300g,3인분,초급,10분,2025-06-10,https://example.com/recipe_1000005.jpg,1000005,10,1,0.573416264004236,0
6,맛있는 소고기 요리 7,맛있는 소고기 요리 7,user_33,요리사27,10451,4433,149,굽기,일상,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 7 레시피,소고기 300g,3인분,고급,60분,2025-09-26,https://example.com/recipe_1000006.jpg,1000006,60,3,0.4003553753152949,1
7,맛있는 돼지고기 요리 8,맛있는 돼지고기 요리 8,user_36,요리사21,14075,972,214,굽기,간편식,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 8 레시피,돼지고기 300g,2인분,중급,20분,2025-06-04,https://example.com/recipe_1000007.jpg,1000007,20,2,0.24196071411907677,4
8,맛있는 계란 요리 9,맛있는 계란 요리 9,user_53,요리사9,12007,590,777,굽기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 9 레시피,계란 300g,2인분,중급,10분,2025-06-24,https://example.com/recipe_1000008.jpg,1000008,10,2,0.3110663932403684,4
9,맛있는 계란 요리 10,맛있는 계란 요리 10,user_48,요리사92,43134,4004,507,볶기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 10 레시피,계란 300g,2인분,중급,30분,2025-12-20,https://example.com/recipe_1000009.jpg,1000009,30,2,0.7732282069813646,1
10,맛있는 닭고기 요리 11,맛있는 닭고기 요리 11,user_93,요리사15,27232,1145,891,볶기,간편식,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 11 레시피,닭고기 300g,4인분,중급,60분,2025-11-17,https://example.com/recipe_1000010.jpg,1000010,60,2,0.5194909986692773,2
11,맛있는 두부 요리 12,맛있는 두부 요리 12,user_37,요리사94,26657,555,879,굽기,손님접대,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 12 레시피,두부 300g,3인분,고급,20분,2025-05-18,https://example.com/recipe_1000011.jpg,1000011,20,3,0.47593664060194885,3
12,맛있는 닭고기 요리 13,맛있는 닭고기 요리 13,user_42,요리사17,6607,1406,467,굽기,간편식,"닭고기, 양파, 마늘",메인반찬,맛있는 닭고기 요리 13 레시피,닭고기 300g,2인분,중급,10분,2025-12-14,https://example.com/recipe_1000012.jpg,1000012,10,2,0.2439459649337832,1
13,맛있는 닭고기 요리 14,맛있는 닭고기 요리 14,user_91,요리사67,20354,1971,931,볶기,손님접대,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 14 레시피,닭고기 300g,3인분,고급,30분,2025-04-06,https://example.com/recipe_1000013.jpg,1000013,30,3,0.508255613523613,5
14,맛있는 생선 요리 15,맛있는 생선 요리 15,user_28,요리사8,16574,426,944,찌기,간편식,"생선, 양파, 마늘",찌개,맛있는 생선 요리 15 레시피,생선 300g,3인분,초급,60분,2025-04-03,https://example.com/recipe_1000014.jpg,1000014,60,1,0.38034535975504946,5
15,맛있는 닭고기 요리 16,맛있는 닭고기 요리 16,user_44,요리사10,10710,4528,637,볶기,일상,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 16 레시피,닭고기 300g,2인분,고급,10분,2025-08-08,https://example.com/recipe_1000015.jpg,1000015,10,3,0.5063439539124984,3
16,맛있는 소고기 요리 17,맛있는 소고기 요리 17,user_56,요리사90,39731,2843,591,볶기,간편식,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 17 레시피,소고기 300g,4인분,초급,10분,2025-08-07,https://example.com/recipe_1000016.jpg,1000016,10,1,0.6863434496629754,4
