RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,RCP_IMG_URL
1000000,맛있는 계란 요리 1,맛있는 계란 요리 1,user_33,요리사58,42053,3255,726,찌기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 1 레시피,계란 300g,2인분,고급,60분,2025-01-08,https://example.com/recipe_1000000.jpg
1000001,맛있는 소고기 요리 2,맛있는 소고기 요리 2,user_53,요리사39,24187,889,915,볶기,간편식,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 2 레시피,소고기 300g,4인분,고급,30분,2025-11-03,https://example.com/recipe_1000001.jpg
1000002,맛있는 계란 요리 3,맛있는 계란 요리 3,user_60,요리사16,24165,4773,707,볶기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 3 레시피,계란 300g,2인분,고급,20분,2025-02-23,https://example.com/recipe_1000002.jpg
1000003,맛있는 계란 요리 4,맛있는 계란 요리 4,user_81,요리사9,19533,1790,353,굽기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 4 레시피,계란 300g,3인분,고급,30분,2025-02-12,https://example.com/recipe_1000003.jpg
1000004,맛있는 소고기 요리 5,맛있는 소고기 요리 5,user_6,요리사43,6106,3242,230,찌기,손님접대,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 5 레시피,소고기 300g,4인분,초급,60분,2025-01-31,https://example.com/recipe_1000004.jpg
1000005,맛있는 소고기 요리 6,맛있는 소고기 요리 6,user_45,요리사3,41100,1430,382,볶기,일상,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 6 레시피,소고기 300g,3인분,초급,10분,2025-06-10,https://example.com/recipe_1000005.jpg
1000006,맛있는 소고기 요리 7,맛있는 소고기 요리 7,user_33,요리사27,10451,4433,149,굽기,일상,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 7 레시피,소고기 300g,3인분,고급,60분,2025-09-26,https://example.com/recipe_1000006.jpg
1000007,맛있는 돼지고기 요리 8,맛있는 돼지고기 요리 8,user_36,요리사21,14075,972,214,굽기,간편식,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 8 레시피,돼지고기 300g,2인분,중급,20분,2025-06-04,https://example.com/recipe_1000007.jpg
1000008,맛있는 계란 요리 9,맛있는 계란 요리 9,user_53,요리사9,12007,590,777,굽기,손님접대,"계란, 양파, 마늘",일품,맛있는 계란 요리 9 레시피,계란 300g,2인분,중급,10분,2025-06-24,https://example.com/recipe_1000008.jpg
1000009,맛있는 계란 요리 10,맛있는 계란 요리 10,user_48,요리사92,43134,4004,507,볶기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 10 레시피,계란 300g,2인분,중급,30분,2025-12-20,https://example.com/recipe_1000009.jpg
1000010,맛있는 닭고기 요리 11,맛있는 닭고기 요리 11,user_93,요리사15,27232,1145,891,볶기,간편식,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 11 레시피,닭고기 300g,4인분,중급,60분,2025-11-17,https://example.com/recipe_1000010.jpg
1000011,맛있는 두부 요리 12,맛있는 두부 요리 12,user_37,요리사94,26657,555,879,굽기,손님접대,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 12 레시피,두부 300g,3인분,고급,20분,2025-05-18,https://example.com/recipe_1000011.jpg
